game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,umplf,oscorer
WS2196809112,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1968/09/11,2,0:00PM,night,false,sprim901,flahr901,stewb902,dimul901,"""Orioles""","""David Annis""","""Wayne Townsend""",1996/11/06 7:16PM,park,none,0,unknown,-1,unknown,unknown,night,172,3507,drabm101,humpb102,richp102,,,
WS2196809120,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1968/09/12,0,0:00PM,night,false,flahr901,stewb902,dimul901,sprim901,"""Orioles""","""David Annis""","""Wayne Townsend""",1996/11/06 7:30PM,park,none,0,unknown,-1,unknown,unknown,night,140,1069,bertf101,mcnad102,higgd101,,,
WS2196809131,"""version 7RS(19) of 07/07/92""",NYA,WS2,WAS10,1968/09/13,1,5:02PM,day,false,stewb902,dimul901,sprim901,flahr901,"""Yankees""","""D Lamoureaux""","""D Lamoureaux""",1998/08/18 5:16PM,unknown,none,80,unknown,-1,unknown,unknown,unknown,132,0,stotm101,colej102,,,,
WS2196809132,"""version 7RS(19) of 07/07/92""",NYA,WS2,WAS10,1968/09/13,2,7:46PM,night,false,dimul901,sprim901,flahr901,stewb902,"""Yankees""","""D Lamoureaux""","""D Lamoureaux""",1998/08/18 5:24PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,142,7458,bahns101,hannj102,,,,
WS2196809140,"""version 7RS(19) of 07/07/92""",NYA,WS2,WAS10,1968/09/14,0,1:32PM,day,false,sprim901,flahr901,stewb902,dimul901,"""Yankees""","""D Lamoureaux""","""D Lamoureaux""",1998/08/18 5:31PM,unknown,none,82,unknown,-1,unknown,unknown,unknown,120,4143,downa101,schog102,,,,
WS2196809150,"""version 7RS(19) of 07/07/92""",NYA,WS2,WAS10,1968/09/15,0,1:31PM,day,false,flahr901,stewb902,dimul901,sprim901,"""Yankees""","""D Lamoureaux""","""D Lamoureaux""",1998/08/18 5:37PM,unknown,none,80,unknown,-1,unknown,unknown,unknown,135,7787,petef101,pascc102,mcdal101,,,
WS2196809200,"""version 7RS(19) of 07/07/92""",DET,WS2,WAS10,1968/09/20,0,0:00PM,night,false,soarh901,chyln901,kinnb901,goetr901,"""Senators""","""Ron Fisher""","""Ron Fisher""",1994/03/07 9:25PM,park,none,0,unknown,-1,unknown,unknown,unknown,171,5929,lolim101,humpb102,dobsp101,,,
WS2196809210,"""version 7RS(19) of 07/07/92""",DET,WS2,WAS10,1968/09/21,0,0:00PM,day,false,chyln901,kinnb901,goetr901,soarh901,"""Senators""","""Ron Fisher""","""Ron Fisher""",1994/03/07 10:03PM,park,none,0,unknown,-1,unknown,unknown,unknown,153,4075,sparj101,cox-c101,,,,
WS2196809220,"""version 7RS(19) of 07/07/92""",DET,WS2,WAS10,1968/09/22,0,0:00PM,day,false,kinnb901,goetr901,soarh901,chyln901,"""Senators""","""Ron Fisher""","""Ron Fisher""",1994/03/08 5:39AM,park,none,0,unknown,-1,unknown,unknown,unknown,118,7327,pascc102,hillj101,,,,
WS2196809230,"""version 7RS(19) of 07/07/92""",BOS,WS2,WAS10,1968/09/23,0,0:00PM,night,false,goetr901,soarh901,chyln901,kinnb901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/18 6:44PM,unknown,none,85,unknown,-1,unknown,unknown,unknown,252,2370,jones101,pizaj101,,,,
