game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
NYN201005110,WAS,NYN,NYC20,2010/05/11,0,7:11PM,night,false,hirsj901,hoyej901,bellw901,diazl901,park,pitches,shanb701,52,tolf,12,unknown,unknown,unknown,203,31606,valdr002,clipt001,rodrf003,
NYN201005120,WAS,NYN,NYC20,2010/05/12,0,1:10PM,day,false,hoyej901,bellw901,diazl901,hirsj901,park,pitches,karph701,48,fromcf,12,wet,drizzle,unknown,213,33024,clipt001,rodrf003,cappm001,
NYN201005210,NYA,NYN,NYC20,2010/05/21,0,7:13PM,night,false,wolfj901,ticht901,hudsm901,cousd901,park,pitches,shanb701,72,rtol,9,unknown,unknown,unknown,199,41382,vazqj001,desse001,rivem002,
NYN201005220,NYA,NYN,NYC20,2010/05/22,0,7:13PM,night,false,ticht901,hudsm901,cousd901,wolfj901,park,pitches,shanb701,68,rtol,11,unknown,unknown,unknown,213,41343,pelfm001,hughp001,rodrf003,
NYN201005230,NYA,NYN,NYC20,2010/05/23,0,8:10PM,night,false,hudsm901,cousd901,wolfj901,ticht901,park,pitches,karph701,63,fromcf,11,unknown,unknown,unknown,192,41422,santj003,sabac001,rodrf003,
NYN201005250,PHI,NYN,NYC20,2010/05/25,0,7:11PM,night,false,mcclt901,everm901,fleta901,johna901,park,pitches,shanb701,71,tolf,15,unknown,unknown,sunny,173,33026,dickr001,moyej001,valdr002,
NYN201005260,PHI,NYN,NYC20,2010/05/26,0,7:11PM,night,false,everm901,fleta901,johna901,mcclt901,park,pitches,karph701,87,torf,8,unknown,unknown,cloudy,175,33223,takah001,blanj001,,
NYN201005270,PHI,NYN,NYC20,2010/05/27,0,9:05PM,night,false,fleta901,johna901,mcclt901,everm901,park,pitches,sprej701,60,tolf,13,unknown,unknown,unknown,168,35903,pelfm001,hamec001,rodrf003,
NYN201006040,FLO,NYN,NYC20,2010/06/04,0,7:12PM,night,false,rungb901,wintm901,wendh902,estam901,park,pitches,shanb701,82,tolf,15,unknown,unknown,cloudy,165,30042,dickr001,sanca004,rodrf003,
NYN201006050,FLO,NYN,NYC20,2010/06/05,0,4:12PM,day,false,wintm901,wendh902,estam901,rungb901,park,pitches,shanb701,89,torf,16,unknown,unknown,unknown,135,37165,niesj001,roben001,,
NYN201006060,FLO,NYN,NYC20,2010/06/06,0,1:11PM,day,false,wendh902,estam901,rungb901,wintm901,park,pitches,karph701,87,tocf,17,unknown,unknown,unknown,200,36612,felip002,hensc002,rodrf003,
NYN201006080,SDN,NYN,NYC20,2010/06/08,0,7:11PM,night,false,welkt901,reynj901,welkb901,dimum901,park,pitches,sprej701,70,fromlf,9,unknown,unknown,cloudy,182,30086,desse001,mujie001,,
NYN201006101,SDN,NYN,NYC20,2010/06/10,1,1:10PM,day,false,reynj901,campa902,dimum901,welkt901,park,pitches,karph701,70,torf,7,unknown,unknown,unknown,167,32365,latom001,santj003,bellh001,
NYN201006102,SDN,NYN,NYC20,2010/06/10,2,7:10PM,night,false,welkb901,dimum901,welkt901,campa902,park,pitches,shanb701,71,tolf,4,unknown,unknown,cloudy,138,28072,niesj001,garlj001,,
NYN201006220,DET,NYN,NYC20,2010/06/22,0,7:11PM,night,false,davib902,tscht901,marqa901,timmt901,park,pitches,freed701,74,fromrf,11,unknown,unknown,unknown,197,32363,nievf001,verlj001,,
NYN201006230,DET,NYN,NYC20,2010/06/23,0,7:11PM,night,false,tscht901,marqa901,timmt901,davib902,park,pitches,karph701,88,ltor,8,unknown,unknown,cloudy,145,35045,dickr001,bondj001,,
NYN201006240,DET,NYN,NYC20,2010/06/24,0,7:11PM,night,false,marqa901,timmt901,davib902,tscht901,park,pitches,shanb701,91,torf,17,unknown,unknown,cloudy,201,31319,galaa002,takah001,valvj001,
NYN201006250,MIN,NYN,NYC20,2010/06/25,0,7:10PM,night,false,gibsg901,knigb901,davig901,holbs901,park,pitches,shanb701,78,tolf,14,unknown,unknown,cloudy,161,36244,pelfm001,slowk001,rodrf003,
NYN201006260,MIN,NYN,NYC20,2010/06/26,0,1:12PM,day,false,knigb901,davig901,holbs901,gibsg901,park,pitches,altmb701,87,torf,12,unknown,unknown,cloudy,154,37510,pavac001,santj003,,
NYN201006270,MIN,NYN,NYC20,2010/06/27,0,1:11PM,day,false,davig901,holbs901,gibsg901,knigb901,park,pitches,sprej701,83,fromlf,7,unknown,unknown,unknown,194,37644,niesj001,bakes002,,
NYN201007050,CIN,NYN,NYC20,2010/07/05,0,7:11PM,night,false,mealj901,wegnm901,iassd901,scotd901,park,pitches,shanb701,91,fromrf,9,unknown,unknown,sunny,190,36764,smitj003,pelfm001,cordf002,
