game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,translator
CHN198704300,SFN,CHN,CHI11,1987/04/30,0,0:00PM,day,false,kiblj901,froeb901,quicj901,willc901,"""Dewan""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,185,11934,garrs001,smitl001,mintg001,spilh001,,
CHN198705010,SDN,CHN,CHI11,1987/05/01,0,0:00PM,day,false,froeb901,quicj901,willc901,kiblj901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,163,16100,dipif001,mccul001,smitl001,dunss001,,
CHN198705020,SDN,CHN,CHI11,1987/05/02,0,0:00PM,day,false,quicj901,willc901,kiblj901,froeb901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,145,25428,trous001,white001,lynce001,sandr001,,
CHN198705030,SDN,CHN,CHI11,1987/05/03,0,0:00PM,day,false,willc901,kiblj901,quicj901,froeb901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,174,27202,sutcr001,hawka001,smitl001,durhl001,,
CHN198705040,LAN,CHN,CHI11,1987/05/04,0,0:00PM,day,false,davib902,wendh901,tatat901,crawj901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,200,17487,noled001,howek001,,dawsa001,,
CHN198705050,LAN,CHN,CHI11,1987/05/05,0,0:00PM,day,false,wendh901,tatat901,crawj901,davib902,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,167,18021,welcb001,moyej001,,duncm001,,
CHN198705190,CIN,CHN,CHI11,1987/05/19,0,0:00PM,day,false,marsr901,engeb901,rungp901,westj901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,180,28890,sutcr001,browt001,lynce001,dawsa001,,
CHN198705200,CIN,CHN,CHI11,1987/05/20,0,0:00PM,day,false,engeb901,rungp901,westj901,marsr901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,175,27150,gullb001,maddg002,,larkb001,,
CHN198705210,CIN,CHN,CHI11,1987/05/21,0,0:00PM,day,false,rungp901,westj901,marsr901,engeb901,"""Dewan""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,165,21718,smitl001,franj001,,dernb001,,
CHN198705220,ATL,CHN,CHI11,1987/05/22,0,0:00PM,day,false,willb901,mcshj901,pullf901,brocf901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,179,28667,palmd001,sands001,ackej001,murpd001,,
CHN198705230,ATL,CHN,CHI11,1987/05/23,0,0:00PM,day,false,mcshj901,pullf901,brocf901,willb901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,313,33225,moyej001,ackej001,,mumpj001,,
CHN198705240,ATL,CHN,CHI11,1987/05/24,0,0:00PM,day,false,pullf901,brocf901,willb901,mcshj901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,230,37259,noled001,dedmj001,,dawsa001,,
CHN198706010,HOU,CHN,CHI11,1987/06/01,0,0:00PM,day,false,grege901,ripps901,harvd901,steld901,"""Sklansky""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,216,14556,andel001,dipif001,smitd001,cruzj001,,
CHN198706020,HOU,CHN,CHI11,1987/06/02,0,0:00PM,day,false,ripps901,harvd901,steld901,grege901,"""Netter""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,167,13891,masom001,ryann001,,dunss001,,
CHN198706030,HOU,CHN,CHI11,1987/06/03,0,1:22PM,day,false,harvd901,steld901,grege901,ripps901,"""Dewan with pitches from YouTube by Wigley""","""O'Donnell""",tv,pitches,75,torf,15,unknown,unknown,sunny,202,19725,sutcr001,knepb001,,dayeb001,,
CHN198706040,SLN,CHN,CHI11,1987/06/04,0,0:00PM,day,false,palld901,rennd901,weyel901,monte901,"""Galbreath""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,170,32102,cox-d001,maddg002,worrt001,clarj001,,
CHN198706050,SLN,CHN,CHI11,1987/06/05,0,0:00PM,day,false,rennd901,weyel901,monte901,palld901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,204,36818,mathg001,sands001,,morrj003,,
CHN198706060,SLN,CHN,CHI11,1987/06/06,0,0:00PM,day,false,weyel901,monte901,palld901,rennd901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,162,39008,moyej001,forsb001,smitl001,moyej001,,
CHN198706070,SLN,CHN,CHI11,1987/06/07,0,0:00PM,day,false,monte901,palld901,(none),rennd901,"""Vrotny""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,230,38388,dawlb001,masom001,worrt001,clarj001,,
CHN198706080,NYN,CHN,CHI11,1987/06/08,0,0:00PM,day,false,willb901,mcshj901,pullf901,demud901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,203,28063,smitl001,siskd001,,trilm001,,
CHN198706090,NYN,CHN,CHI11,1987/06/09,0,0:00PM,day,false,mcshj901,pullf901,demud901,willb901,"""Dewan""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,164,31252,noled001,myerr001,smitl001,sandr001,,
CHN198706100,NYN,CHN,CHI11,1987/06/10,0,0:00PM,day,false,pullf901,demud901,willb901,mcshj901,"""Dewan""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,183,35190,goodd001,sands001,,cartg001,,
CHN198706150,PHI,CHN,CHI11,1987/06/15,0,0:00PM,day,false,bonig901,quicj901,kiblj901,froeb901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,193,18643,tekuk001,smitl001,bedrs001,,,
CHN198706160,PHI,CHN,CHI11,1987/06/16,0,0:00PM,day,false,quicj901,kiblj901,froeb901,bonig901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,179,30007,trous001,grosk001,smitl001,palmr001,,
CHN198706170,PHI,CHN,CHI11,1987/06/17,0,0:00PM,day,false,kiblj901,froeb901,marsr901,quicj901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,148,26447,moyej001,rawls001,smitl001,trilm001,,
CHN198706180,PHI,CHN,CHI11,1987/06/18,0,0:00PM,day,false,froeb901,bonig901,quicj901,kiblj901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,200,22870,sutcr001,jackm001,smitl001,palmr001,,
CHN198706190,PIT,CHN,CHI11,1987/06/19,0,0:00PM,day,false,weyel901,monte901,hallt901,rennd901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,157,33529,fishb001,noled001,,ray-j001,,
CHN198706200,PIT,CHN,CHI11,1987/06/20,0,0:00PM,day,false,monte901,hallt901,rennd901,weyel901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,178,34384,dunnm001,maddg002,,bondb001,,
CHN198706210,PIT,CHN,CHI11,1987/06/21,0,0:00PM,day,false,hallt901,rennd901,weyel901,monte901,"""O'Donnell""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,214,33418,trous001,drabd001,smitl001,morek001,,
CHN198706220,PIT,CHN,CHI11,1987/06/22,0,0:00PM,day,false,rennd901,weyel901,monte901,hallt901,"""O'Donnell""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,147,27064,moyej001,reusr001,,morek001,,
