game_id,hometeam,home_recent_form
PIT191106100,PIT,
PIT191106120,PIT,
PIT191106130,PIT,
PIT191106140,PIT,
PIT191106150,PIT,
PIT191106160,PIT,
PIT191106190,PIT,
PIT191106230,PIT,
PIT191106240,PIT,
PIT191106260,PIT,
PIT191106270,PIT,
PIT191106280,PIT,
PIT191107041,PIT,
PIT191107042,PIT,
PIT191107050,PIT,
PIT191107240,PIT,
PIT191107250,PIT,
PIT191107260,PIT,
PIT191107270,PIT,
PIT191107280,PIT,
PIT191107291,PIT,
PIT191107292,PIT,
PIT191107310,PIT,
PIT191108010,PIT,
PIT191108020,PIT,
PIT191108040,PIT,
PIT191108050,PIT,
PIT191108070,PIT,
PIT191108080,PIT,
PIT191108090,PIT,
PIT191108100,PIT,
PIT191108140,PIT,
PIT191109011,PIT,
PIT191109012,PIT,
PIT191109021,PIT,
PIT191109022,PIT,
PIT191109041,PIT,
PIT191109042,PIT,
PIT191109061,PIT,
PIT191109062,PIT,
PIT191109141,PIT,
PIT191109142,PIT,
PIT191109151,PIT,
PIT191109152,PIT,
PIT191109160,PIT,
PIT191109180,PIT,
PIT191109190,PIT,
PIT191109200,PIT,
PIT191109210,PIT,
PIT191109220,PIT,
PIT191109230,PIT,
PIT191109250,PIT,
PIT191109260,PIT,
PIT191109280,PIT,
PIT191109290,PIT,
PIT191109301,PIT,
PIT191109302,PIT,
PIT191110020,PIT,
SLA191104120,SLA,
SLA191104130,SLA,
SLA191104140,SLA,
SLA191104150,SLA,
SLA191104160,SLA,
SLA191104170,SLA,
SLA191104190,SLA,
SLA191105020,SLA,
SLA191105030,SLA,
SLA191105040,SLA,
SLA191105060,SLA,
SLA191105070,SLA,
SLA191105080,SLA,
SLA191105100,SLA,
SLA191105110,SLA,
SLA191105120,SLA,
SLA191105130,SLA,
SLA191105140,SLA,
SLA191105150,SLA,
SLA191105160,SLA,
SLA191105170,SLA,
SLA191105180,SLA,
SLA191105190,SLA,
SLA191105200,SLA,
SLA191105210,SLA,
SLA191105220,SLA,
SLA191105230,SLA,
SLA191105240,SLA,
SLA191105250,SLA,
SLA191106201,SLA,
SLA191106202,SLA,
SLA191106210,SLA,
SLA191106220,SLA,
SLA191107070,SLA,
SLA191107080,SLA,
SLA191107090,SLA,
SLA191107100,SLA,
SLA191107110,SLA,
SLA191107120,SLA,
SLA191107130,SLA,
SLA191107140,SLA,
SLA191107150,SLA,
SLA191107200,SLA,
SLA191107210,SLA,
SLA191107220,SLA,
SLA191107230,SLA,
SLA191108140,SLA,
SLA191108170,SLA,
SLA191108180,SLA,
SLA191108190,SLA,
SLA191108200,SLA,
SLA191108221,SLA,
SLA191108222,SLA,
SLA191108251,SLA,
SLA191108252,SLA,
SLA191108260,SLA,
SLA191108270,SLA,
SLA191108280,SLA,
SLA191108290,SLA,
SLA191109020,SLA,
SLA191109030,SLA,
SLA191109041,SLA,
SLA191109042,SLA,
SLA191109111,SLA,
SLA191109112,SLA,
SLA191109120,SLA,
SLA191109130,SLA,
SLA191110060,SLA,
SLA191110070,SLA,
SLN191104200,SLN,
SLN191104210,SLN,
SLN191104220,SLN,
SLN191104230,SLN,
SLN191104240,SLN,
SLN191104250,SLN,
SLN191104260,SLN,
SLN191105270,SLN,
SLN191105291,SLN,
SLN191105292,SLN,
SLN191105301,SLN,
SLN191105302,SLN,
SLN191105311,SLN,
SLN191105312,SLN,
SLN191106011,SLN,
SLN191106012,SLN,
SLN191106020,SLN,
SLN191106030,SLN,
SLN191106040,SLN,
SLN191106050,SLN,
SLN191106070,SLN,
SLN191106090,SLN,
SLN191106100,SLN,
SLN191106110,SLN,
SLN191106120,SLN,
SLN191106130,SLN,
SLN191106150,SLN,
SLN191106160,SLN,
SLN191106170,SLN,
SLN191106180,SLN,
SLN191106271,SLN,
SLN191106272,SLN,
SLN191106280,SLN,
SLN191106290,SLN,
SLN191106300,SLN,
SLN191107010,SLN,
SLN191107020,SLN,
SLN191107240,SLN,
SLN191107250,SLN,
SLN191107260,SLN,
SLN191107270,SLN,
SLN191107280,SLN,
SLN191107290,SLN,
SLN191107300,SLN,
SLN191107310,SLN,
SLN191108020,SLN,
SLN191108050,SLN,
SLN191108070,SLN,
SLN191108080,SLN,
SLN191108090,SLN,
SLN191109070,SLN,
SLN191109091,SLN,
SLN191109092,SLN,
SLN191109100,SLN,
SLN191109141,SLN,
SLN191109142,SLN,
SLN191109151,SLN,
SLN191109152,SLN,
SLN191109171,SLN,
SLN191109172,SLN,
SLN191109190,SLN,
SLN191109201,SLN,
SLN191109202,SLN,
SLN191109211,SLN,
SLN191109212,SLN,
SLN191109220,SLN,
SLN191109230,SLN,
SLN191109240,SLN,
SLN191109270,SLN,
SLN191109280,SLN,
SLN191109300,SLN,
SLN191110030,SLN,
SLN191110040,SLN,
SLN191110050,SLN,
WS1191104120,WS1,
WS1191104130,WS1,
WS1191104150,WS1,
WS1191104170,WS1,
WS1191104180,WS1,
