game_id,home_r1
KCA201408100,4
KCA201408110,1
KCA201408120,0
KCA201408130,0
KCA201408140,0
KCA201408250,0
KCA201408260,0
KCA201408270,0
KCA201408280,2
KCA201408290,0
KCA201408300,0
KCA201408310,1
KCA201409010,1
KCA201409020,0
KCA201409030,0
KCA201409110,0
KCA201409120,0
KCA201409130,2
KCA201409140,0
KCA201409150,0
KCA201409160,0
KCA201409170,0
KCA201409190,0
KCA201409200,0
KCA201409210,1
LAN201404040,0
LAN201404050,0
LAN201404060,0
LAN201404080,1
LAN201404090,1
LAN201404180,0
LAN201404190,0
LAN201404200,0
LAN201404210,0
LAN201404220,0
LAN201404230,0
LAN201404240,0
LAN201404250,1
LAN201404260,0
LAN201404270,1
LAN201405080,0
LAN201405090,0
LAN201405100,0
LAN201405110,0
LAN201405120,0
LAN201405130,0
LAN201405140,0
LAN201405260,0
LAN201405270,0
LAN201405280,0
LAN201405290,1
LAN201405300,0
LAN201405310,2
LAN201406010,0
LAN201406020,0
LAN201406030,0
LAN201406040,0
LAN201406130,0
LAN201406140,0
LAN201406150,0
LAN201406160,0
LAN201406170,0
LAN201406180,2
LAN201406260,0
LAN201406270,0
LAN201406280,1
LAN201406290,0
LAN201406300,0
LAN201407010,2
LAN201407020,0
LAN201407100,0
LAN201407110,1
LAN201407120,0
LAN201407130,0
LAN201407290,0
LAN201407300,0
LAN201407310,1
LAN201408010,1
LAN201408020,0
LAN201408030,1
LAN201408040,0
LAN201408050,0
LAN201408150,1
LAN201408160,0
LAN201408170,0
LAN201408190,0
LAN201408200,0
LAN201408210,0
LAN201408220,0
LAN201408230,0
LAN201408240,1
LAN201409010,2
LAN201409020,0
LAN201409030,0
LAN201409050,0
LAN201409060,2
LAN201409070,0
LAN201409080,1
LAN201409090,0
LAN201409100,0
LAN201409220,0
LAN201409230,3
LAN201409240,0
LAN201409260,1
LAN201409270,1
LAN201409280,2
MIA201403310,0
MIA201404010,0
MIA201404020,1
MIA201404030,1
MIA201404040,2
MIA201404050,0
MIA201404060,0
MIA201404140,0
MIA201404150,3
MIA201404160,0
MIA201404180,2
MIA201404190,0
MIA201404200,0
MIA201404290,0
MIA201404300,0
MIA201405010,1
MIA201405020,0
MIA201405030,0
MIA201405040,2
MIA201405050,0
MIA201405060,2
MIA201405070,0
MIA201405200,2
MIA201405210,2
MIA201405220,0
MIA201405230,1
MIA201405240,0
MIA201405250,0
MIA201405300,2
MIA201405310,0
MIA201406010,0
MIA201406020,3
MIA201406030,0
MIA201406130,0
MIA201406140,0
MIA201406150,0
MIA201406160,2
MIA201406170,1
MIA201406180,1
MIA201406190,0
MIA201406200,1
MIA201406210,0
MIA201406220,0
MIA201406270,0
MIA201406280,0
MIA201406290,1
MIA201407010,0
MIA201407020,0
MIA201407030,0
MIA201407180,0
MIA201407190,1
MIA201407200,2
MIA201407280,0
MIA201407290,0
MIA201407300,0
MIA201407310,1
MIA201408010,0
MIA201408020,0
MIA201408030,0
MIA201408110,2
MIA201408120,0
MIA201408130,0
MIA201408140,0
MIA201408150,2
MIA201408160,0
MIA201408170,4
MIA201408190,0
MIA201408200,0
MIA201409010,1
MIA201409020,0
MIA201409030,0
MIA201409050,2
MIA201409060,0
MIA201409070,0
MIA201409180,0
MIA201409190,0
MIA201409200,1
MIA201409210,0
MIA201409230,0
MIA201409240,0
MIA201409250,2
MIL201403310,0
MIL201404010,1
MIL201404020,0
MIL201404110,0
MIL201404120,1
MIL201404130,0
MIL201404140,0
MIL201404150,0
MIL201404160,0
MIL201404210,0
MIL201404220,0
MIL201404230,1
MIL201404250,2
MIL201404260,1
MIL201404270,0
MIL201405050,1
MIL201405060,5
MIL201405070,1
MIL201405090,0
MIL201405100,1
MIL201405110,0
MIL201405130,0
MIL201405140,0
MIL201405150,0
MIL201405260,1
MIL201405270,3
MIL201405280,1
MIL201405300,5
MIL201405310,0
MIL201406010,2
MIL201406020,0
MIL201406030,1
MIL201406130,0
MIL201406140,0
MIL201406150,0
MIL201406230,0
MIL201406240,0
MIL201406250,0
MIL201406260,3
MIL201406270,0
MIL201406280,3
MIL201406290,0
MIL201407070,0
MIL201407080,5
MIL201407090,0
MIL201407100,0
MIL201407110,3
MIL201407120,0
MIL201407130,2
MIL201407210,0
MIL201407220,2
MIL201407230,0
MIL201407240,1
MIL201407250,0
MIL201407260,0
MIL201407270,0
MIL201408050,0
MIL201408060,1
MIL201408070,1
MIL201408080,2
MIL201408090,0
MIL201408100,1
MIL201408190,2
MIL201408200,0
MIL201408220,2
MIL201408230,0
MIL201408240,2
MIL201409040,1
MIL201409050,0
MIL201409060,2
MIL201409070,0
MIL201409080,2
MIL201409090,0
MIL201409100,0
MIL201409110,0
MIL201409120,0
MIL201409130,0
MIL201409140,0
MIL201409260,0
MIL201409270,0
MIL201409280,0
MIN201404070,0
MIN201404090,0
MIN201404100,1
MIN201404110,2
MIN201404120,1
MIN201404130,0
MIN201404150,1
MIN201404171,0
MIN201404172,1
MIN201404250,0
MIN201404260,0
MIN201404300,0
MIN201405011,2
MIN201405012,1
MIN201405020,0
MIN201405030,1
MIN201405040,0
MIN201405130,0
MIN201405140,0
MIN201405150,0
MIN201405160,0
MIN201405170,1
MIN201405180,0
MIN201405260,1
MIN201405270,0
MIN201405280,0
MIN201405290,0
MIN201406040,0
MIN201406050,0
MIN201406060,0
MIN201406070,0
MIN201406080,0
MIN201406190,0
MIN201406200,0
MIN201406210,0
MIN201406220,1
MIN201406300,0
MIN201407010,1
MIN201407020,0
MIN201407030,1
MIN201407040,1
MIN201407050,0
MIN201407060,0
MIN201407180,0
MIN201407190,0
MIN201407200,0
MIN201407210,0
MIN201407220,0
MIN201407230,0
MIN201407240,0
MIN201407250,0
MIN201407260,0
MIN201407270,0
MIN201408050,0
MIN201408060,2
MIN201408150,0
MIN201408160,0
MIN201408170,1
MIN201408180,0
MIN201408190,5
MIN201408200,0
MIN201408210,0
MIN201408220,0
MIN201408231,1
MIN201408232,0
MIN201408240,0
MIN201409020,2
MIN201409030,3
MIN201409040,0
MIN201409050,1
MIN201409060,0
MIN201409070,0
MIN201409150,0
MIN201409160,0
MIN201409170,3
MIN201409190,0
MIN201409200,0
MIN201409210,0
MIN201409220,0
MIN201409230,0
MIN201409240,1
NYA201404070,0
NYA201404080,1
NYA201404090,0
NYA201404100,0
NYA201404110,0
NYA201404120,2
NYA201404130,0
NYA201404161,1
NYA201404162,0
NYA201404250,0
NYA201404260,0
NYA201404270,0
NYA201404290,0
NYA201405010,1
NYA201405020,0
NYA201405030,0
NYA201405040,0
NYA201405120,0
NYA201405130,3
NYA201405170,2
NYA201405181,3
NYA201405182,0
NYA201405300,0
NYA201405310,0
NYA201406010,0
NYA201406020,0
NYA201406030,1
NYA201406040,0
NYA201406050,0
NYA201406170,0
NYA201406180,1
NYA201406190,1
NYA201406200,1
NYA201406210,0
NYA201406220,0
NYA201406270,1
NYA201406280,0
NYA201406290,0
NYA201406300,0
NYA201407010,0
NYA201407020,1
NYA201407180,1
NYA201407190,0
NYA201407200,0
NYA201407210,1
NYA201407220,0
NYA201407230,0
NYA201407240,0
NYA201407250,0
NYA201407260,0
NYA201407270,0
NYA201408040,0
NYA201408050,0
NYA201408060,0
NYA201408070,0
NYA201408080,5
NYA201408090,0
NYA201408100,0
NYA201408190,0
NYA201408200,0
NYA201408210,0
NYA201408220,0
NYA201408230,0
NYA201408240,0
NYA201409020,0
NYA201409030,0
NYA201409040,0
NYA201409050,0
NYA201409060,1
NYA201409070,0
NYA201409090,0
NYA201409100,1
NYA201409110,0
NYA201409180,0
NYA201409190,1
NYA201409200,0
NYA201409210,1
NYA201409220,0
NYA201409230,0
NYA201409240,1
NYA201409250,2
NYN201403310,3
NYN201404020,1
NYN201404030,2
NYN201404040,0
NYN201404050,0
NYN201404060,0
NYN201404180,0
NYN201404190,1
NYN201404200,1
NYN201404210,0
NYN201404220,0
NYN201404230,0
NYN201404240,0
NYN201404250,0
NYN201404260,3
NYN201404270,0
NYN201405090,1
NYN201405100,2
NYN201405110,1
NYN201405140,0
NYN201405150,0
NYN201405200,0
NYN201405210,0
NYN201405220,0
NYN201405240,0
NYN201405251,1
NYN201405252,0
NYN201405260,0
NYN201405270,0
NYN201405280,0
NYN201406100,0
NYN201406110,0
NYN201406120,0
NYN201406130,0
NYN201406140,0
NYN201406150,2
NYN201406240,0
NYN201406250,0
NYN201407040,3
NYN201407050,0
NYN201407060,5
NYN201407070,0
NYN201407080,1
NYN201407090,1
NYN201407100,0
NYN201407110,0
NYN201407120,0
NYN201407130,0
NYN201407280,4
NYN201407290,0
