game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
NYA199308010,MIL,NYA,NYC16,1993/08/01,0,1:36,day,true,younl901,meric901,garcr901,fordd901,pitches,82,ltor,1,dry,none,sunny,173,35938,navaj001,perem001,,,
NYA199308020,TOR,NYA,NYC16,1993/08/02,0,7:40,night,true,brinj901,cousd901,reedr901,cobld901,pitches,84,rtol,9,dry,none,night,156,43304,stott001,abboj001,cox-d001,,
NYA199308030,TOR,NYA,NYC16,1993/08/03,0,7:37,night,true,cousd901,reedr901,cobld901,brinj901,pitches,90,rtol,7,dry,none,night,209,48031,hentp001,munob001,leita001,,
NYA199308040,TOR,NYA,NYC16,1993/08/04,0,7:37,night,true,reedr901,mcclt901,brinj901,cousd901,none,85,ltor,14,unknown,unknown,night,182,48250,kamis001,stewd001,,,
NYA199308050,TOR,NYA,NYC16,1993/08/05,0,1:05,day,true,mcclt901,brinj901,cousd901,reedr901,pitches,83,rtol,7,wet,none,sunny,174,52493,key-j001,leita001,,,
NYA199308130,BAL,NYA,NYC16,1993/08/13,0,7:39,night,true,denkd901,shulj901,tscht901,joycj901,pitches,77,ltor,6,wet,none,night,147,36168,abboj001,moyej001,,,
NYA199308140,BAL,NYA,NYC16,1993/08/14,0,2:01,day,true,shulj901,tscht901,joycj901,denkd901,pitches,84,ltor,5,dry,none,sunny,179,52598,assep001,willm004,farrs001,,
NYA199308150,BAL,NYA,NYC16,1993/08/15,0,1:38,day,true,tscht901,joycj901,denkd901,shulj901,pitches,89,ltor,6,dry,none,sunny,176,47428,kamis001,mcdob001,wickb001,,
NYA199308171,TEX,NYA,NYC16,1993/08/17,1,4:05,day,true,craft901,mccol901,hendt901,evanj901,pitches,73,rtol,6,wet,none,cloudy,160,0,key-j001,browk001,,,
NYA199308172,TEX,NYA,NYC16,1993/08/17,2,7:36,night,true,mccol901,hendt901,evanj901,craft901,pitches,74,tolf,10,wet,drizzle,night,189,40148,rogek001,perem001,henkt001,,
NYA199308180,TEX,NYA,NYC16,1993/08/18,0,1:09,day,true,hendt901,evanj901,craft901,mccol901,pitches,71,fromlf,12,wet,none,cloudy,171,35608,pavlr001,abboj001,henkt001,,
NYA199308200,KCA,NYA,NYC16,1993/08/20,0,7:35,night,true,merrd901,hirsj901,welkt901,cobld901,pitches,79,unknown,-1,wet,showers,night,150,29758,jeand001,gordt001,,,
NYA199308210,KCA,NYA,NYC16,1993/08/21,0,1:36,day,true,welkt901,cobld901,merrd901,hirsj901,pitches,79,ltor,22,dry,none,sunny,165,41543,kamis001,magnm001,farrs001,,
NYA199308220,KCA,NYA,NYC16,1993/08/22,0,1:35,day,true,welkt901,cobld901,merrd901,hirsj901,pitches,77,rtol,9,dry,none,sunny,154,43606,hanec001,perem001,,,
NYA199308310,CHA,NYA,NYC16,1993/08/31,0,7:36,night,true,barnl901,koscg901,morrd901,clara901,pitches,77,rtol,9,dry,none,night,183,37511,alvaw001,hitcs001,,,
NYA199309010,CHA,NYA,NYC16,1993/09/01,0,7:35,night,true,koscg901,morrd901,clara901,barnl901,pitches,82,ltor,5,dry,none,night,194,25144,mcdoj001,assep001,hernr001,,
NYA199309020,CHA,NYA,NYC16,1993/09/02,0,7:35,night,true,morrd901,clara901,barnl901,koscg901,pitches,72,rtol,9,dry,none,night,155,23701,key-j001,belct001,,,
NYA199309030,CLE,NYA,NYC16,1993/09/03,0,7:35,night,true,hicke901,hendt901,evanj901,craft901,pitches,0,unknown,-1,damp,showers,night,192,29041,ojedb001,perem001,dipoj001,,
NYA199309040,CLE,NYA,NYC16,1993/09/04,0,1:37,day,true,hendt901,evanj901,craft901,hicke901,pitches,77,ltor,7,damp,drizzle,overcast,153,27125,abboj001,milab001,,,shanb701
NYA199309050,CLE,NYA,NYC16,1993/09/05,0,1:35,day,true,evanj901,craft901,hicke901,hendt901,pitches,79,unknown,8,wet,none,sunny,183,29995,wickb001,mutij001,,,
