game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,translator,oscorer,gametype
KC1195807300,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1958/07/30,0,0:00PM,night,false,honoj901,soarh901,umonf901,summb901,,"""Jeff Bower""",1999/08/28 10:56AM,park,none,0,unknown,-1,unknown,rain,overcast,76,20000,grimb102,larsd102,,,"""Jeff Bower""",,
KC1195807310,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1958/07/31,0,0:00PM,night,false,soarh901,umonf901,summb901,honoj901,"""NYA Koppett""","""Marc Stephenson""",1999/07/07 10:11PM,park,none,0,unknown,-1,wet,unknown,unknown,172,19540,maasd101,urbaj101,kuckj101,,"""Marc Stephenson""",,
KC1195808010,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1958/08/01,0,0:00PM,night,false,umonf901,summb901,(none),honoj901,"""Senators""","""Greg Beston""",1998/07/23 1:03AM,unknown,none,0,unknown,-1,unknown,unknown,night,164,7520,ramop101,davib102,hyded101,,"""Greg Beston""",,
KC1195808020,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1958/08/02,0,0:00PM,night,false,summb901,honoj901,(none),umonf901,"""Senators""","""Greg Beston""",1998/07/23 10:54AM,unknown,none,0,unknown,-1,unknown,unknown,night,162,9399,hyded101,tomad101,,,"""Greg Beston""",,
KC1195808031,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1958/08/03,1,0:00PM,day,false,honoj901,umonf901,(none),summb901,"""Senators""","""Greg Beston""",1998/07/23 11:33AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,151,0,terrr101,kemmr101,,,"""Greg Beston""",,
KC1195808032,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1958/08/03,2,0:00PM,day,false,umonf901,summb901,(none),honoj901,"""Senators""","""Greg Beston""",1998/07/23 12:05PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,239,11665,ramop101,dickm101,,,"""Greg Beston""",,
KC1195808050,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1958/08/05,0,0:00PM,night,false,stewb902,runge901,tabaf901,papaj901,"""9""","""Greg Beston""",2004/01/25 9:20PM,unknown,none,0,unknown,-1,unknown,unknown,night,154,10578,lownt101,grimb102,,,"""Greg Beston""",,
KC1195808060,"""version 7RS(19) of 07/07/92""",CHA,KC1,KAN05,1958/08/06,0,0:00PM,night,false,runge901,tabaf901,papaj901,stewb902,"""White Sox""","""Greg Beston""",1998/07/26 5:53PM,unknown,none,0,unknown,-1,unknown,unknown,night,134,10050,pierb101,davib102,,,"""Greg Beston""",,
KC1195808150,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1958/08/15,0,0:00PM,night,false,romme101,ricej901,(none),nappl901,"""Middlesworth""","""R. Elliott""",1999/01/25 7:24AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,172,10460,dickm101,suscg101,gormt102,,,,
KC1195808160,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1958/08/16,0,0:00PM,night,false,ricej901,nappl901,(none),romme101,"""Middlesworth""","""R. Elliott""",1999/01/26 7:37AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,158,11713,herbr101,laryf101,,,,,
KC1195808170,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1958/08/17,0,0:00PM,day,false,nappl901,romme101,(none),ricej901,"""Middlesworth""","""R. Elliott""",1999/01/26 7:47AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,123,14766,grimb102,foytp101,,,,,
KC1195808290,"""version 7RS(19) of 07/07/92""",CLE,KC1,KAN05,1958/08/29,0,0:00PM,night,false,summb901,honoj901,soarh901,umonf901,"""CLE""","""Chris Chestnut""",1999/09/17 4:31PM,park,none,0,unknown,-1,unknown,unknown,unknown,156,18620,grimb102,woodh101,herbr101,,"""Chris Chestnut""",,
