mlbam_pitcher_id,player_name,tempo_be_sec,tempo_ro_sec
453214,"Wright, Steven",14.976,14.976
686730,"Spiers, Carson",14.98,14.98
657024,"Swanson, Erik",14.982,14.982
656427,"Flaherty, Jack",15.001,15.001
669713,"Wesneski, Hayden",15.005,15.005
150302,"Marquis, Jason",15.007,15.007
607192,"Glasnow, Tyler",15.008,15.008
607259,"Martinez, Nick",15.009,15.009
446372,"Kluber, Corey",15.012,15.012
475115,"Ross, Tyson",15.015,15.015
683155,"Estes, Joey",15.033,15.033
664045,"Eshelman, Thomas",15.033,15.033
663947,"Holton, Tyler",15.034,15.034
666619,"Santos, Gregory",15.036,15.036
658648,"Avila, Pedro",15.047,15.047
608665,"Graveman, Kendall",15.048,15.048
425386,"Guthrie, Jeremy",15.051,15.051
686752,"Pepiot, Ryan",15.053,15.053
669438,"Englert, Mason",15.053,15.053
453311,"Lincecum, Tim",15.075,15.075
614179,"Ruiz, José",15.078,15.078
676962,"Brown, Ben",15.08,15.08
518876,"Kelly, Merrill",15.08,15.08
545333,"Bauer, Trevor",15.082,15.082
601713,"Pivetta, Nick",15.082,15.082
642003,"Reed, Cody",15.082,15.082
605164,"Bundy, Dylan",15.082,15.082
656353,"Davidson, Tucker",15.09,15.09
666168,"Thompson, Mason",15.099,15.099
407890,"Lewis, Colby",15.1,15.1
465679,"Deduno, Samuel",15.104,15.104
607067,"Rea, Colin",15.106,15.106
621016,"Cuas, Jose",15.113,15.113
687330,"Kelly, Kevin",15.114,15.114
596064,"Owens, Henry",15.114,15.114
665622,"Medina, Luis",15.118,15.118
612434,"Castro, Miguel",15.121,15.121
541640,"Ramírez, Erasmo",15.128,15.128
592346,"González, Chi Chi",15.134,15.134
679525,"Marsh, Alec",15.135,15.135
571670,"Floro, Dylan",15.136,15.136
572971,"Keuchel, Dallas",15.141,15.141
429722,"Santana, Ervin",15.147,15.147
493200,"Oh, Seunghwan",15.148,15.148
643410,"Leiter Jr., Mark",15.148,15.148
592229,"Covey, Dylan",15.149,15.149
