home_team,fringe_side,quadrant,first_inning,n,csr,exp,ocs
BOS,top,Top-Right,0,120,0.9416666666666667,0.9705759928398477,-0.028909326173181094
BOS,top,Top-Right,1,14,0.8571428571428571,0.9725968115787997,-0.11545395443594264
CHC,bottom,Bottom-Left,0,114,0.9122807017543859,0.9685351505666915,-0.05625444881230557
CHC,bottom,Bottom-Left,1,19,0.7368421052631579,0.9649867216015785,-0.22814461633842065
CHC,bottom,Bottom-Right,0,121,0.9090909090909091,0.9591379717792651,-0.050047062688356014
CHC,bottom,Bottom-Right,1,18,0.7222222222222222,0.9606673811184301,-0.23844515889620788
CHC,bottom,OZ,0,553,0.4394213381555154,0.30878540606861776,0.1306359320868976
CHC,bottom,OZ,1,53,0.4528301886792453,0.29937102096268153,0.15345916771656376
CHC,left,Bottom-Left,0,136,0.9558823529411765,0.9703804560006339,-0.014498103059457423
CHC,left,Bottom-Left,1,16,0.9375,0.9664746234380304,-0.028974623438030367
CHC,left,OZ,0,484,0.4256198347107438,0.3142626434961916,0.11135719121455223
CHC,left,OZ,1,78,0.46153846153846156,0.32380346223173845,0.13773499930672312
CHC,left,Top-Left,0,157,0.8980891719745223,0.9654089456262411,-0.06731977365171882
CHC,left,Top-Left,1,17,0.8235294117647058,0.9649394651182319,-0.14141005335352608
CHC,right,Bottom-Right,0,130,0.8461538461538461,0.9582894588579377,-0.11213561270409156
CHC,right,Bottom-Right,1,27,0.8148148148148148,0.95712455400618,-0.14230973919136525
CHC,right,OZ,0,546,0.35714285714285715,0.3054298511163877,0.051713006026469444
CHC,right,OZ,1,88,0.3068181818181818,0.30240219172736216,0.004415990090819666
CHC,right,Top-Right,0,110,0.8545454545454545,0.9704650855079378,-0.11591963096248326
CHC,right,Top-Right,1,16,1.0,0.967060713420147,0.03293928657985301
CHC,top,OZ,0,433,0.45958429561200925,0.3053761957050583,0.15420809990695095
CHC,top,OZ,1,45,0.4222222222222222,0.2966527879211048,0.12556943430111744
CHC,top,Top-Left,0,150,0.9666666666666667,0.9637634429158201,0.0029032237508466174
CHC,top,Top-Left,1,13,0.8461538461538461,0.9573735829010658,-0.11121973674721963
CHC,top,Top-Right,0,116,0.9396551724137931,0.9708039616915438,-0.031148789277750666
CHC,top,Top-Right,1,16,1.0,0.9688018815178384,0.031198118482161585
CIN,bottom,Bottom-Left,0,121,0.8760330578512396,0.9692358305340966,-0.09320277268285693
