game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,innings
WS1194008291,"""version 7RS(19) of 07/07/92""",DET,WS1,1940/08/29,WAS09,1,0:00PM,day,false,"""56,222""","""Tom Thress""","""Tom Thress""",2018/01/28 12:42AM,geish901,pipgg101,(none),ormsr901,unknown,none,0,unknown,-1,unknown,unknown,unknown,131,0,rowes101,chask101,,,,
WS1194008292,"""version 7RS(19) of 07/07/92""",DET,WS1,1940/08/29,WAS09,2,0:00PM,day,false,"""56,222""","""Tom Thress""","""Tom Thress""",2018/01/28 12:48AM,pipgg101,ormsr901,(none),geish901,unknown,none,0,unknown,-1,unknown,unknown,unknown,91,4000,newsb101,hudss101,,,,
WS1194009021,"""version 7RS(19) of 07/07/92""",BOS,WS1,1940/09/02,WAS09,1,0:00PM,day,false,"""71,163,274,222,276""","""Tom Thress,Wayne Townsend""","""Tom Thress,Wayne Townsend""",2018/01/30 11:17PM,hubbc901,morig101,(none),romme101,unknown,none,0,unknown,-1,unknown,unknown,unknown,175,0,hudss101,grovl101,,,,
WS1194009022,"""version 7RS(19) of 07/07/92""",BOS,WS1,1940/09/02,WAS09,2,0:00PM,day,false,"""71,163,274""","""Tom Thress""","""Tom Thress""",2018/01/30 11:23PM,morig101,romme101,(none),hubbc901,unknown,none,0,unknown,-1,unknown,unknown,unknown,90,23000,chask101,flemb101,,,,
WS1194009040,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/09/04,WAS09,0,0:00PM,day,false,"""315,222""","""Pete Cottrell""","""Pete Cottrell""",2015/01/17 8:42PM,quinj901,ormsr901,(none),geish901,park,none,0,unknown,-1,unknown,unknown,unknown,110,5000,krakj101,sunds101,,,,
WS1194009051,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/09/05,WAS09,1,0:00PM,day,false,"""315,222""","""Pete Cottrell""","""Pete Cottrell""",2015/01/18 8:43PM,ormsr901,geish901,(none),quinj901,park,none,0,unknown,-1,unknown,unknown,unknown,111,0,bonht101,leond103,,,,
WS1194009052,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/09/05,WAS09,2,0:00PM,day,false,"""315,222""","""Pete Cottrell""","""Pete Cottrell""",2015/01/19 7:27PM,geish901,quinj901,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,120,17000,donaa101,mastw101,,,,
WS1194009060,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/09/06,WAS09,0,0:00PM,day,false,"""315,222,96""","""Pete Cottrell""","""Pete Cottrell""",2015/01/21 7:45AM,quinj901,ormsr901,(none),geish901,park,none,0,unknown,-1,unknown,unknown,unknown,120,12000,chask101,ruffr101,,,,
WS1194009281,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/09/28,WAS09,1,0:00PM,day,false,"""315,222,96""","""Pete Cottrell""","""Pete Cottrell""",2015/03/01 11:31AM,quinj901,ormsr901,(none),grieb901,park,none,0,unknown,-1,unknown,unknown,unknown,108,0,hudss101,breum101,,,,
WS1194009282,"""version 7RS(19) of 07/07/92""",NYA,WS1,1940/09/28,WAS09,2,0:00PM,day,false,"""315,222,96""","""Pete Cottrell""","""Pete Cottrell""",2015/03/01 1:20PM,ormsr901,grieb901,(none),quinj901,park,none,0,unknown,-1,unknown,unknown,unknown,135,5000,donaa101,chask101,,,,
