game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,oscorer
PHA192208191,"""version 7RS(19) of 07/07/92""",SLA,PHA,1922/08/19,PHI11,1,0:00,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/04 7:57PM,owenb901,morig101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,115,0,shocu101,harrs101,,,,
PHA192208192,"""version 7RS(19) of 07/07/92""",SLA,PHA,1922/08/19,PHI11,2,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/05 8:33AM,owenb901,morig101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,84,18000,romme101,wrigr104,,,,
PHA192208210,"""version 7RS(19) of 07/07/92""",SLA,PHA,1922/08/21,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/05 1:11PM,morig101,owenb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,132,0,heimf101,david102,harrs101,,,
PHA192208221,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/08/22,PHI11,1,0:00,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/05 3:59PM,guthb901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,118,0,daush101,hastb101,,,,
PHA192208222,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/08/22,PHI11,2,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/05 7:27PM,connt901,guthb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,125,0,pillh101,naylr101,moorr102,,,
PHA192208230,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/08/23,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/06 1:24PM,guthb901,connt901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,105,0,romme101,ehmkh101,,,,
PHA192208240,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/08/24,PHI11,0,0:00PM,day,false,"""56,266""","""Jim Herdman""","""Jim Herdman""",2022/06/26 2:40PM,connt901,guthb901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,136,3000,johns101,harrs101,pillh101,,,
PHA192208260,"""version 7RS(19) of 07/07/92""",CHA,PHA,1922/08/26,PHI11,0,0:00PM,day,false,"""94""","""94""","""Comly""",2013/06/04 1:54AM,guthb901,dinnb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,105,7000,faber101,heimf101,,,,
PHA192208281,"""version 7RS(19) of 07/07/92""",CHA,PHA,1922/08/28,PHI11,1,0:00PM,day,false,"""94""","""94""","""Comly""",2013/06/03 1:28PM,guthb901,dinnb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,102,0,robec101,hastb101,,,,
PHA192208282,"""version 7RS(19) of 07/07/92""",CHA,PHA,1922/08/28,PHI11,2,0:00PM,day,false,"""94""","""94""","""Comly""",2013/06/03 2:26PM,guthb901,dinnb101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,105,0,naylr101,mackf101,,,,
